Measurement,Time,Number,Mean,SD,Score Change,Percentage Change,Comparison with baseline assessment
PHQ-9,Baseline,80,18.41,4.5,NA,NA,NA
,3 Months,65,8.45,5.45,9.97,54,<0.001
,6 Months,69,4.94,5.3,13.47,73,<0.001
MADRS,Baseline,74,29.95,7.59,NA,NA,NA
,3 Months,61,16.33,11.75,13.62,45,<0.001
,6 Months,64,9.52,10.73,20.43,68,<0.001
Q-Les-Q,Baseline,80,0.43,0.11,NA,NA,NA
,3 Months,66,0.59,0.17,0.16,37,<0.001
,6 Months,70,0.72,0.2,0.29,67,<0.001
SDS,Baseline,80,17.34,6.63,NA,NA,NA
,3 Months,67,9.27,8,8.07,47,<0.001
,6 Months,69,4.12,6.41,13.22,76,<0.001
